Time resolution is 1 ps
Memory @ 0x200 = 60
Memory @ 0x201 = 1c
Time=1830000 | PC=212 | State= 0 | Opcode=6a05 | I_reg=305 | V0=1c V1=0a VA=05 VB=xx | mem_addr_out=211 | mem_data_in = xx | mem_data_out = 05 | mem_read = 0 | mem_write = 0
Time=1850000 | PC=212 | State= 1 | Opcode=6a05 | I_reg=305 | V0=1c V1=0a VA=05 VB=xx | mem_addr_out=212 | mem_data_in = xx | mem_data_out = 05 | mem_read = 1 | mem_write = 0
Time=1870000 | PC=212 | State= 2 | Opcode=6a05 | I_reg=305 | V0=1c V1=0a VA=05 VB=xx | mem_addr_out=212 | mem_data_in = xx | mem_data_out = 6b | mem_read = 0 | mem_write = 0
Time=1890000 | PC=212 | State= 3 | Opcode=6a05 | I_reg=305 | V0=1c V1=0a VA=05 VB=xx | mem_addr_out=213 | mem_data_in = xx | mem_data_out = 6b | mem_read = 1 | mem_write = 0
Time=1910000 | PC=212 | State= 4 | Opcode=6a05 | I_reg=305 | V0=1c V1=0a VA=05 VB=xx | mem_addr_out=213 | mem_data_in = xx | mem_data_out = 07 | mem_read = 0 | mem_write = 0
Time=1930000 | PC=212 | State= 6 | Opcode=6a05 | I_reg=305 | V0=1c V1=0a VA=05 VB=xx | mem_addr_out=213 | mem_data_in = xx | mem_data_out = 07 | mem_read = 0 | mem_write = 0
Time=1950000 | PC=212 | State= 5 | Opcode=6b07 | I_reg=305 | V0=1c V1=0a VA=05 VB=xx | mem_addr_out=213 | mem_data_in = xx | mem_data_out = 07 | mem_read = 0 | mem_write = 0
Time=1970000 | PC=214 | State= 0 | Opcode=6b07 | I_reg=305 | V0=1c V1=0a VA=05 VB=07 | mem_addr_out=213 | mem_data_in = xx | mem_data_out = 07 | mem_read = 0 | mem_write = 0
Time=1990000 | PC=214 | State= 1 | Opcode=6b07 | I_reg=305 | V0=1c V1=0a VA=05 VB=07 | mem_addr_out=214 | mem_data_in = xx | mem_data_out = 07 | mem_read = 1 | mem_write = 0
Time=2010000 | PC=214 | State= 2 | Opcode=6b07 | I_reg=305 | V0=1c V1=0a VA=05 VB=07 | mem_addr_out=214 | mem_data_in = xx | mem_data_out = 8a | mem_read = 0 | mem_write = 0
